date,symbol,action,score,confidence,entry,stop,target,horizon_days,source,model,prompt_version,reason,risk_reward,meta
2026-09-18,sh600519,SELL,28.3,0.73,1257.12,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sh600519"", ""日期"": ""2026-09-18"", ""收盘价"": 1257.12, ""当日涨跌幅%"": -0.78, ""MA5"": 1266.56, ""MA10"": 1280.93, ""MA20"": 1291.8, ""MA60"": 1282.69, ""MA20近5日斜率%"": -0.5, ""RSI14"": 38.5, ""ATR14"": 17.504, ""ATR占价格比%"": 1.39, ""量比"": 1.14, ""20日涨幅%"": -1.2, ""60日涨幅%"": 7.6, ""60日区间位置"": 41.7, ""20日年化波动率%"": 15.7}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-18,sz000858,SELL,27.3,0.75,70.0,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sz000858"", ""日期"": ""2026-09-18"", ""收盘价"": 70.0, ""当日涨跌幅%"": 1.26, ""MA5"": 69.59, ""MA10"": 70.24, ""MA20"": 70.83, ""MA60"": 72.55, ""MA20近5日斜率%"": -0.86, ""RSI14"": 40.9, ""ATR14"": 0.816, ""ATR占价格比%"": 1.17, ""量比"": 1.24, ""20日涨幅%"": -1.7, ""60日涨幅%"": -0.8, ""60日区间位置"": 16.4, ""20日年化波动率%"": 12.8}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-18,sh601318,HOLD,49.5,0.31,53.37,,,15,llm,mock-rule-v1,mock,规则模拟：站上MA60,,"{""snapshot"": {""代码"": ""sh601318"", ""日期"": ""2026-09-18"", ""收盘价"": 53.37, ""当日涨跌幅%"": 0.04, ""MA5"": 53.77, ""MA10"": 54.46, ""MA20"": 54.92, ""MA60"": 52.29, ""MA20近5日斜率%"": 1.2, ""RSI14"": 45.5, ""ATR14"": 1.032, ""ATR占价格比%"": 1.93, ""量比"": 1.21, ""20日涨幅%"": 1.9, ""60日涨幅%"": 15.4, ""60日区间位置"": 63.0, ""20日年化波动率%"": 23.9}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-18,sz300750,SELL,18.0,0.85,301.95,,,15,llm,mock-rule-v1,mock,规则模拟：RSI超卖,,"{""snapshot"": {""代码"": ""sz300750"", ""日期"": ""2026-09-18"", ""收盘价"": 301.95, ""当日涨跌幅%"": -0.77, ""MA5"": 313.04, ""MA10"": 325.43, ""MA20"": 345.49, ""MA60"": 370.65, ""MA20近5日斜率%"": -5.42, ""RSI14"": 21.4, ""ATR14"": 11.439, ""ATR占价格比%"": 3.79, ""量比"": 0.88, ""20日涨幅%"": -22.8, ""60日涨幅%"": -20.5, ""60日区间位置"": 0.0, ""20日年化波动率%"": 29.0}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-18,sh600036,HOLD,51.5,0.33,40.59,,,15,llm,mock-rule-v1,mock,规则模拟：站上MA60,,"{""snapshot"": {""代码"": ""sh600036"", ""日期"": ""2026-09-18"", ""收盘价"": 40.59, ""当日涨跌幅%"": -0.03, ""MA5"": 41.01, ""MA10"": 41.09, ""MA20"": 40.67, ""MA60"": 38.95, ""MA20近5日斜率%"": 1.45, ""RSI14"": 52.8, ""ATR14"": 0.664, ""ATR占价格比%"": 1.64, ""量比"": 0.77, ""20日涨幅%"": 4.3, ""60日涨幅%"": 16.0, ""60日区间位置"": 83.1, ""20日年化波动率%"": 17.0}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-21,sh600519,SELL,26.3,0.77,1252.57,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sh600519"", ""日期"": ""2026-09-21"", ""收盘价"": 1252.57, ""当日涨跌幅%"": -0.36, ""MA5"": 1261.48, ""MA10"": 1274.59, ""MA20"": 1289.19, ""MA60"": 1283.65, ""MA20近5日斜率%"": -0.65, ""RSI14"": 37.3, ""ATR14"": 16.39, ""ATR占价格比%"": 1.31, ""量比"": 1.26, ""20日涨幅%"": -4.0, ""60日涨幅%"": 4.8, ""60日区间位置"": 39.2, ""20日年化波动率%"": 12.7}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-21,sz000858,SELL,27.5,0.75,70.27,,,15,llm,mock-rule-v1,mock,规则模拟：中性,,"{""snapshot"": {""代码"": ""sz000858"", ""日期"": ""2026-09-21"", ""收盘价"": 70.27, ""当日涨跌幅%"": 0.39, ""MA5"": 69.67, ""MA10"": 70.12, ""MA20"": 70.77, ""MA60"": 72.53, ""MA20近5日斜率%"": -0.76, ""RSI14"": 43.0, ""ATR14"": 0.782, ""ATR占价格比%"": 1.11, ""量比"": 1.28, ""20日涨幅%"": -1.7, ""60日涨幅%"": -1.6, ""60日区间位置"": 19.0, ""20日年化波动率%"": 12.8}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-21,sh601318,HOLD,47.7,0.35,53.98,,,15,llm,mock-rule-v1,mock,规则模拟：站上MA60,,"{""snapshot"": {""代码"": ""sh601318"", ""日期"": ""2026-09-21"", ""收盘价"": 53.98, ""当日涨跌幅%"": 1.14, ""MA5"": 53.62, ""MA10"": 54.32, ""MA20"": 54.93, ""MA60"": 52.4, ""MA20近5日斜率%"": 0.84, ""RSI14"": 49.7, ""ATR14"": 1.044, ""ATR占价格比%"": 1.93, ""量比"": 1.16, ""20日涨幅%"": 0.1, ""60日涨幅%"": 13.4, ""60日区间位置"": 68.8, ""20日年化波动率%"": 21.8}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-21,sz300750,SELL,18.0,0.85,297.1,,,15,llm,mock-rule-v1,mock,规则模拟：RSI超卖,,"{""snapshot"": {""代码"": ""sz300750"", ""日期"": ""2026-09-21"", ""收盘价"": 297.1, ""当日涨跌幅%"": -1.61, ""MA5"": 305.04, ""MA10"": 320.32, ""MA20"": 340.95, ""MA60"": 369.09, ""MA20近5日斜率%"": -5.86, ""RSI14"": 20.2, ""ATR14"": 10.994, ""ATR占价格比%"": 3.7, ""量比"": 1.1, ""20日涨幅%"": -23.4, ""60日涨幅%"": -24.0, ""60日区间位置"": 0.0, ""20日年化波动率%"": 29.0}, ""entry_is_reference"": true, ""memory_lessons"": []}"
2026-09-21,sh600036,BUY,74.6,0.79,41.04,39.35,43.75,15,llm,mock-rule-v1,mock,"规则模拟：站上MA20, 站上MA60",1.6035502958579908,"{""snapshot"": {""代码"": ""sh600036"", ""日期"": ""2026-09-21"", ""收盘价"": 41.04, ""当日涨跌幅%"": 1.11, ""MA5"": 40.85, ""MA10"": 41.09, ""MA20"": 40.74, ""MA60"": 39.04, ""MA20近5日斜率%"": 1.18, ""RSI14"": 57.1, ""ATR14"": 0.677, ""ATR占价格比%"": 1.65, ""量比"": 0.93, ""20日涨幅%"": 3.7, ""60日涨幅%"": 15.9, ""60日区间位置"": 89.2, ""20日年化波动率%"": 16.4}, ""entry_is_reference"": true, ""memory_lessons"": []}"
